id,gdp,computers_mathematics_statistics,business,before_hs,non_tech_busi,hs,housing,job,graduate,engineering,bachelor_degree,stock
LA1512,236309,17707,118403,321043,289957,1302553,205163.1579,10,194715,37415,362359,2341.770435
LA1510,236309,17707,118403,321043,289957,1302553,204107.8947,10,194715,37415,362359,2275.301818
LA1205,245204,17707,118403,321043,289957,1302553,196524.3056,11,194715,37415,362359,1373.113043
CA1308,2231635,420454,1469434,3755889,4010214,11924567,470088.9527,707,2810958,790458,4789014,1667.165
CA1309,2231635,420454,1469434,3755889,4010214,11924567,475021.8077,643,2810958,790458,4789014,1724.962857
CA1306,2191727,420454,1469434,3755889,4010214,11924567,457252.2238,760,2810958,790458,4789014,1559.56
LA1202,242926,17707,118403,321043,289957,1302553,197226.3889,5,194715,37415,362359,1488.279524
CA1304,2191727,420454,1469434,3755889,4010214,11924567,442333.5725,773,2810958,790458,4789014,1498.702273
CA1305,2191727,420454,1469434,3755889,4010214,11924567,449856.6714,808,2810958,790458,4789014,1565.588696
KS1010,132491,9559,52090,94181,144028,550554,160798.0392,8,92424,15708,160676,1252.45381
KS1011,132491,9559,52090,94181,144028,550554,160607.8431,4,92424,15708,160676,1329.745
KS1012,132491,9559,52090,94181,144028,550554,160443.1373,5,92424,15708,160676,1385.633913
ND0812,32643,3923,19482,19659,54125,188226,148550,0,28935,5053,67764,617.5922727
LA1410,245702,17707,118403,321043,289957,1302553,197928.2895,8,194715,37415,362359,2128.036957
TN1201,272946,31489,210698,364536,462875,1772608,115336.9697,6,318959,59500,562037,1375.101818
LA1511,236309,17707,118403,321043,289957,1302553,204713.8158,11,194715,37415,362359,2342.723
TX0804,1263327,213579,995214,2294561,1953257,7404745,151529.8805,29,1400386,411982,2682327,1052.904091
OK1404,194498,16071,105907,193004,233811,981440,79760.9375,6,148815,27610,290413,1979.983182
VA0711,396449,40361,154937,254085,448210,1427178,283549.0826,4,306080,59813,485501,1177.790476
VA0710,396449,40361,154937,254085,448210,1427178,284982.5688,6,306080,59813,485501,1267.43
VA0712,396449,40361,154937,254085,448210,1427178,281697.7064,22,306080,59813,485501,1161.6825
AZ0712,262668,50172,250211,480080,572502,2247681,258635.6436,0,409219,98783,695175,1161.6825
AZ0711,262668,50172,250211,480080,572502,2247681,260661.3861,0,409219,98783,695175,1177.790476
AZ0710,262668,50172,250211,480080,572502,2247681,262214.8515,0,409219,98783,695175,1267.43
UT1402,137563,24124,94286,121092,269397,894080,220016.25,19,158699,33316,319181,1969.8875
UT1403,137563,24124,94286,121092,269397,894080,220745,16,158699,33316,319181,2017.77381
TN1202,272946,31489,210698,364536,462875,1772608,115215.4545,7,318959,59500,562037,1488.279524
KY1108,172649,17123,88989,188031,230305,900644,126534.9398,4,170704,24269,244229,1209.317391
KY1109,172649,17123,88989,188031,230305,900644,126591.5663,3,170704,24269,244229,1226.064545
AK0909,49377,2697,15776,19652,49903,190541,243812.5,2,32362,6993,57302,1007.910909
AK0908,49377,2697,15776,19652,49903,190541,243400,1,32362,6993,57302,956.3895238
AK0907,49377,2697,15776,19652,49903,190541,244050,2,32362,6993,57302,888.4069565
AK0906,50044,2697,15776,19652,49903,190541,245487.5,0,32362,6993,57302,851.685
AK0905,50044,2697,15776,19652,49903,190541,246862.5,4,32362,6993,57302,803.4790476
AK0904,50044,2697,15776,19652,49903,190541,248600,4,32362,6993,57302,759.6938095
AK0903,51403,2697,15776,19652,49903,190541,250425,3,32362,6993,57302,648.3013636
AK0902,51403,2697,15776,19652,49903,190541,252062.5,1,32362,6993,57302,631.5452632
AK0901,51403,2697,15776,19652,49903,190541,252737.5,0,32362,6993,57302,634.112
KY1103,167827,17123,88989,188031,230305,900644,127472.2892,7,170704,24269,244229,1431.115217
WI1508,304227,34140,169111,217244,455671,1583850,181068.9542,11,278814,55368,532787,2231.098571
CO1502,309638,64314,246366,261182,625267,1553114,280552.1212,96,428733,98610,732144,2356.258421
WA0710,358988,79177,223159,307411,712785,2044349,318337.6623,0,473052,130296,816734,1267.43
CA1307,2231635,420454,1469434,3755889,4010214,11924567,464127.977,695,2810958,790458,4789014,1614.018696
WA0711,358988,79177,223159,307411,712785,2044349,317492.6407,0,473052,130296,816734,1177.790476
NV1304,127099,15970,101255,239005,208045,1091503,226307.4074,3,139333,28986,270858,1498.702273
NM0809,88146,11805,47278,140706,163144,596292,230593.75,0,125976,25463,159764,928.2533333
NM0808,88146,11805,47278,140706,163144,596292,226318.75,0,125976,25463,159764,1048.620476
NE1501,110627,11818,68725,79248,157845,532408,137210,59,97195,13623,190735,2305.4725
NM0801,83713,11805,47278,140706,163144,596292,223325,0,125976,25463,159764,1037.95619
CA1302,2170092,420454,1469434,3755889,4010214,11924567,428106.8867,736,2810958,790458,4789014,1492.3655
NM0803,83713,11805,47278,140706,163144,596292,223587.5,0,125976,25463,159764,989.752
NM0802,83713,11805,47278,140706,163144,596292,223737.5,0,125976,25463,159764,1020.0545
NM0805,87184,11805,47278,140706,163144,596292,222387.5,0,125976,25463,159764,1145.277619
NM0804,87184,11805,47278,140706,163144,596292,223318.75,0,125976,25463,159764,1052.904091
NM0807,88146,11805,47278,140706,163144,596292,222712.5,0,125976,25463,159764,1013.687273
NM0806,87184,11805,47278,140706,163144,596292,221431.25,0,125976,25463,159764,1119.838571
CO1503,309638,64314,246366,261182,625267,1553114,283636.3636,84,428733,98610,732144,2380.088182
NV1412,136378,15970,101255,239005,208045,1091503,272122.2222,7,139333,28986,270858,2376.958182
IN1112,297014,30459,153786,303227,381724,1593784,101994.8529,13,263110,50424,453834,1302.571364
IN1110,297014,30459,153786,303227,381724,1593784,102138.7255,14,263110,50424,453834,1291.460952
